text,label,stars
"Штора, очень даже неплохая",1,5
Мне очень понравился но брату не очень понравится,1,4
"Вообще заказывал тойота , а пришли ауди колпачки, как отправляете, товар вообще не смотрите что отправляете!!",0,1
"Состояние оставляет желать лучшего. Весь грязный, ободранный, будто уже использовали до этого. Надеюсь это не так. Цвет конечно красивый.",0,1
Идеальный. Спасибо!,1,5
Найс)) качество приятное :3,1,5
"Отличная штука. Запах приятный и ненавязчиво пахнет, а исполнение вобще крутое!!!",1,5
"Заказывала мятный цвет,а прислали серый,жаль... Качество нормальное, но притензия к сборщику заказа",0,3
"Вкусный, хорошо упакован",1,5
Пришла абсолютно не та рубашка которую заказала не ассиметрия рукав обычный воротник простой.,0,1
"Упаковано отлично. Все целое. Пользуюсь, для маникюра 👍",1,5
Аромат грейпфрута будоражит 🔥,1,5
Очень понравился товар,1,5
Отличный набор!,1,5
"Хуже товара сложно найти,не берите совсем,",0,1
Очень очень крутые карандаши.,1,5
"Не знаю кому как нравится. Заказываю второй раз и всё так же какой мятый, не понятный. А так да очень теплый",0,3
"Ароматизатор огонь!!!! Всё в целостности, аромат сладкий😊😊",1,5
Большой приятный на ощупь.,1,5
Неплохой кофе,1,5
"Пришли абсолютно все разные, только 2 веточки  толстые,остальные  тоненькие,очень расстроило((",0,3
"Сняла звезду за плохую упаковку: просто завёрнуто в пищевую пленку, без какого картона, в следствии чего есть залом… тонкаЯ",1,4
"Мёд оочень вкусный, натуральный. Спасибо вам за ваш продукт. Заказала вторую баночку) Рекомендую к покупке.",1,5
"Покупаю повторно. Вкусный, кремов ый мëд.",1,5
"спасибо, теперь нога сломана из за коврика вашего, ездит по ванной-как по льду",0,3
Супер! Любимый напиток,1,5
"Вся кривая, ручки из рваной верёвки, клёпки не пропорционально расположены относительно центра, я разочарована",0,2
"не полный комплект, стрелы отсутствуют.",0,3
"Запах очень приятный, гель пришёл без повреждений упаковки.",1,5
"Сусталь в рекламе не нуждается, периодически беру",1,5
"Какая-то воздушная фракция , сложно отмерять, очень не понравилось. До этого брала другие, а это самый худший вариант и со сладостью не определился",0,2
"Ужасная мышь, покупала почти год назад, при покупке была офигенной, спустя меньше чем полгода колесико перестало нормально прокручиваться, во все прорези на мышке стала забиваться грязь, которую оттуда не вычистить, можно прикупить и получше, не советую((9",0,2
Пришло оба правых сапога,0,1
"Щётка супер, ребенок просто в восторге и с удовольствием чистит зубы🔥
Единственное замечание не знаю или к службе доставки,или к продавцу...
Пришлось заказывать товар два раза,так как первый раз курьер привез поврежденную упаковку,что сразу бросилось в глаза и насторожило,по проверке товара при включении подсветки явно было видно,что одна из насадок поцарапана, такое впечатление,что уже была в использовании ...этот момент огорчил ,но все же решили перезаказать,так как действительно щётка хорошая",1,4
"Всю линейку брала ,хороший ,рекомендую",1,5
"Очень вкусный и ароматный 🍯, рекомендую)",1,5
Сменные файлы для пилок очень хорошие. Рекомендую,1,5
В первом же кусочке попался испорченный орех. Неприятно. Больше не хочется.,0,2
"Нет слов, одни эмоции. Лента не приклеилась к телевизору ( естественно защитную бумагу сняли) Выкинули. Спасибо..",0,1
Людмила крючки слабая клейковина не держатся,0,3
"Вкусный мед ,упакован хорошо.Спасибо!Закажу ещё",1,5
Быстро выветривается.,0,3
Все отлично,1,5
"Хороший мёд, вкусный. Также купила и горный.",1,5
"Кусочек пришёл хорошо упакован ,собрала быстро ,поставила на зарядное,всё работает , попробую после дождя ! Благодарю производителя и wв !покупкой очень довольна !",1,5
"Мне очень понравился! Вместо конфет, само то..",1,5
"Блузка очень понравилась, но он была порвана во многих местах. Вы что, никогда не проверяете вещи перед отправкой? Обидно, что отказ.",0,3
"Если брать только ребенку или подростку, то норм, для взрослых маленький объем, давят.",0,3
"Доставили другой цвет, фон коричневый((",0,1
"Тонковат, зараза",1,4
"Плохо. Я заказывала две пары, пришла одна! Целостность упаковки была нарушена и минус одна пара. Как итог - я купила одну пару за 500р 
Очень неприятно и обидно. Хотела светлые и темные. Получила только темные. Настроение испорчено.",0,1
Заказываю постоянно,1,5
Отличный товар,1,5
"Очень узкая резинка. Сын худой, но даже ему жмёт. На кого шьют хз. За то что мы примерили, вернули, снимают 50₽. Так что извините, вам теперь тоже -50% от отзыва.",0,2
Отличная сыворотка за свои деньги. Очень приятная и качественная,1,5
Мед очень вкусный))цена хорошая )),1,5
Эти капсулы - моя любовь с первого взгляда и с первой стирки. По результатам стирки  чистые вещи с ненавязчивым приятным запахом.,1,5
"Переводятся быстро, держатся хорошо.",1,5
Упаковка товара не нарушена. Мед вкусный.,1,5
"не понравилась. Заявленных функций не выполняет, не осветляет пигментные пятна, не сужает поры и т.д.и.т.п. Да и после использования этой сыворотки проблем на лице стало только больше...",0,3
"Хорошо пенится, приятно пахнет",1,5
"Ничего особенного, обычные патчи, да немного белее, но ничего такого за что такая переплата, может за а-ля «бренд»",0,3
"Все три шарика рассыпанные, как соль для ванны. В воде не бурлят от слова совсем. Из трёх игрушек 1 поломанная…. Больше не закажу естественно и никому Не порекомендую.",0,1
"Джинсы понравились. Но моему 8 летнему ребенку , с ростом 142 см,  оказались малы.",1,4
"Светильники что раньше шли в старой жёлто- серой упаковке были просто супер:
1) было заземление
2) саморезы что шли в комплекте 
- Свободно проходили для них 
- предназначенные отверстия 
- головка саморезов утапливалась
В посадочное отверстие
3) окраска светильника была лучше.

Сейчас светильники пошли черно-серой не обладают выше указанными свойствами.",0,2
"Нитки распускать, форму не держит",0,3
"К товару претензий нет, упаковка, сам товар, но абсолютно не подошёл запах🤢",1,5
"Классный набор. Не все понравилось, но ведь и вкусы у всех разные 😊",1,5
В целом рамки хорошие. Обычный пластик посмотрим как прослужат,1,4
Никчемная рубаха 👎,0,1
Масло отличное. Массаж лингама прошёл отлично.Пару пипеток и скольжение равномерное обеспечено.Как закончится обязательно ещё закажу.,1,5
Не соответствует размеру по таблице указаной производителем! Маломерит на 2 размера!!!,0,3
"кусочки красивые но пришли чем-то облитые, как гелем . не распаковала сразу, а через месяц уже плесень выросла, пришлось все стирать. не приятная неожиданность.",0,2
"Консистенция не водянистая, а густая. Заказ пришёл быстро. На типсе в один слой. Товаром довольна, закажу ещё много других цветов, брала на пробу. Единственное что портит вид, это наклейки на самой баночке. Баночки красивые, буду убирать обезжирователем.",1,5
"Качество хорошее, но запах конечно... на любителя.",1,5
Классные карандаши. Я в восторге.,1,5
"Заявлено без фтора, фтор указан с составе.",0,1
"Доставили быстро. Только цвета не очень яркие, смотрится как бы немного в тумане.",1,4
"После первой стирки серые колготки скатались и сели, хоть и стирали при 40&#39;
Резинка не держит,опять же после первой стирки.",0,3
"Нууууууу как обычно ожидание и реальность))) заказывала белую. На фото одно, в жизни другое, ворот на картинке округлый в жизни Аля стойка. И камушки разноцветные, а мне нужны были «бриллиантики») ну и цена конечно 2000 с копейками завышена однозначно.",0,3
"Не видитесь на цену. Абсолютная паль. Запах спирта один и отличается цвет. Этот вообще какой то желтый 👎🏻 
Таких продавцов в ссылку отправлять надо за наглый обман, лишь бы нажиться. Wb очеркдной раз доказывается , что это просто помойка и честных продавцов единицы. 
лучше бы не поленилась и съездила бы за вторым флаконом в магазин.",0,1
Прислали без одной детали конструкции!,0,1
Джинсы не плохие. Сидят хорошо. Но прислали джинсы с дыркой и за возврат деньги сняли,0,2
"Обои пришли очень хорошо запакованные, качество материала понравилось, но открыв их увидела, что все обои в чёрной грязище, поэтому отказ. Прошу не снимать процент выкупа",0,1
"Совсем не то, что на картинке. Цвета сильно отличаются от заявленных.",0,3
"У одной машинки отсутствовало 1 колесо и винтик. Упаковка была целая и я не заметила сразу. Увидели когда подарили ребёнку. Такой подставы не ожидала. За наклейки конечно спасибо, но можно ли как-то получить не достающие запчасти? При покупке проверяйте машинки",0,2
Очень не очень качество .,0,2
"Вообще пришло не то что заказывала, и пришла она штука вместо 4",0,1
Жена просила заказать. Упаковка класс!! Потом дополню отзыв по действию!,1,5
всё отлично,1,5
"Вязка крупная. Не мужская шапка,женская,купил маме подарю,а там пусть сама смотрит носить или нет. Качество отличное рекомендую",0,3
Еще не пробывал,1,5
"К сожалению моринга, не такая как из Вьетнама, результатов ноль",0,1
Вкусный!!!,1,5
Классная пластина,1,5
"Шарики в жизни совсем других оттенков, фото в карточке товара не соответствуют",0,2
"Очень тонкое , в том году заказывала были другого качества",0,3
Все работает отлично!!,1,5
"Обжарка 15.07 от обжарки до доставки 10 дней неплохой результат, кофе мне понравился, вкус и аромат с тонами ореха и шоколада, мне понравился.",1,5
Отличный дезик,1,5
Очень вкусный! Буду ещё заказывать! Спасибо!!!,1,5
шикарно. Взяла на подарок в Германию владельцам щенка бультерьера. Закажу еще себе:).,1,5
"Ужасные носы, облезлые кривые , не советую!",0,2
"Прекрасное платье для работы в офисе. Подошло, очень приятное на теле. Понравилось",0,2
"Свитшот конечно классный красивый, но эти катышки очень портят все впечатление о товаре. После 1 дня ношения вот такая картина внутри, уже спустя пару часов носки появились катышки. За 2500 можно и проработать этот минус и тогда цена будет на 100% оправдана.",0,3
"Отличные файлы ,очень нежно пилят,при этом не сильно и стирается аброзив .брала первый раз приятно удивлена ))",1,5
Хорошие холсты,1,5
Отличная леска! Косит без проблем! Буду брать!,1,5
Сплошная синтетика. Возврат,0,3
Качество не очень,0,3
Сломана ручка,0,3
Пока эффекта не поняла,0,3
"Пижама жесть как линяет. Купила за 875, цена ей рублей 500",0,1
"Я не знаю, у кого что не пенится, у меня всё прекрасно. И пенится и налёт хорошо убирает. Я любитель кофе, и курю. Очищает очень хорошо. Думала вкус будет сильным, но нет, приемлемо. Спасибо, паста очень понравилась.",1,5
"Нормальный гель, не хуже других)",1,5
"Шапка оказалась большой на девочку 3 года, а снуд будто растянутый и поношенный. К сожалению отказ",0,3
С желтизной,0,2
Замечаний нет . С доставкой проблем не было ! Всё хорошо !,1,5
"Заказывал эмблему шкода, пришло вольво..",0,3
"Размер заказали 31, очень маломерят, на размера 3 точно.",0,2
"Неплохой. Запах лично мне не показаля сильным, я его почти не чувствую среди дня. Аллергию или раздражение не вызвал, кожа чувствительная.
Нужно дать высохнуть обязательно. В сильную жару на весь день не хватило его....
А на осень, весну, зиму, думаю, будет отлично. Отложила его пока.",1,4
Отвратительная упаковка товара. Пришло мятое и порванное,0,3
"Я за раз все сьела, оч вкусно)",1,5
"Это как так кружки отправляете? Ужасное отношение к покупателям, осколки от кружки вообще отдельно лежат, уже сломаную отправили!! Деньги возвращаем!!!!!!",0,1
"широкие и короткие, у сына рост 178, худощавый - не подошли, да и вообще не понравились, несуразные",0,3
"Заказала шапку, на фото очень красивая и аккуратная , на деле: пришла «поношенная» шапка, в катышках, несуразная, следы носки присутствуют , соответственно отказ",0,3
Порадовала дата производства. Наисвежайшее.,1,5
Не полная комплектация нет редуктора в наличии,0,1
"Качество ужасное, ткань совсем тонкая",0,1
"Слишком оверсайз, ещё и требуют 100ку за возврат, о#игели совсем!😡",0,1
"Пришла помятая, загнуты края книги, и есть вмятины, это немного огорчило, но так всё нормально, всё работает",0,3
"Упаковка пришла не мятой, флакон целый. Покупкой полностью удовлетворена!",1,5
"Мед ароматный,вкусный,плотный.Очень понравился.Огромное спасибо за вкусовое наслождение.",1,5
Странный вкус. Лайм как будто лишний. Не понравилось,0,2
На холодную зиму смотрится так себе.,0,3
Дубовая,0,2
Такие пасты в Тайланде в первый раз брала. Мне нравится.,1,5
На вид хороший,1,5
"Отличный гель, пришёл хорошо упакован. Запах очень приятный, нежный",1,5
Очень странно Пахнет резиной. Даже боюсь наносить на лицо,0,1
Мыло супер👍Натуральное 100%,1,5
"Кофта с боку была порванная, в целом костюм хороший",0,2
вкусный мёд,1,5
Отличный веньчик! Спасибо за подарок!,1,5
"Установил, все четко!",1,5
"Получили заказ во время,еще не использовали,пришел вот в такой упаковке,обмотанный скотчем,и криво скреплен степлером и такое чувство что вскрывался",0,3
"Муж очень рад был, т. к. это его любимая порода 🤗Запах приятный, все понравилось👍",1,5
"Делюсь впечатлением: в восторге. Прислали одни пластмассовые штучки без железных крючков.  Валдбериз в очередной раз постарался. Жаль, что работу сборщиков не оцениваем.  Поэтому, пусть продавец с доставщиком разбирается. А то ещё за возврат возьмут.",0,1
Пришла помятая . Отказ,0,1
"Сумка хорошая, красивая.
Но больше 2 кг не думайте в неё класть.
Поэтому не знаю куда её можно брать. Явно не поездка.. А то будете в руках все нести, как я.
Для спорта тоже не подойдёт, ручки сразу рвутся.

А так, конечно, красивая сумка.
Решайте сами. Моя прожила 2 дня.",1,4
"Тоже пришли только перчатки и повязка,
.Обидно,конечно,но забрала.Повязка понравилась.",0,3
"Восторга конечно же нет, эффект так себе",0,3
"Форму не держит, как мешок. Сама ткань не прочная, как-то зацепила когда вытаскивала с одеждой с полки- получилась дыра. Кофр очень большой, вместительный, но как сказала, форму не держит.",0,3
Зубная паста соответствует описанию. Привезли очень быстро.,1,5
Подошва сбоку отклеина... Что за ужасный продавец то выслал первые с грязной подошвой🤦‍♂️,0,1
"Долго боялась брать такой продукт доставкой. Единственный минус - упаковка во время транспортировки помялась и треснула, но ничего не вытекло поэтому оставила и не стала снимать звезду. А вообще хорошо бы упаковку какую-нибудь понадежнее))) Но в целом все отлично, оочень вкусно и сочно, сразу как открываешь чувствуется прям запах меда а не сахара. Свежее, сделали прям в день заказа. Заказала еще)",1,5
"Даже не знаю сколько звёзд поставить,брала на мероприятие в дом престарелых, сказали жжёный сахар, ну,в принципе,чего хотим за 300рублей за килограмм,я в меде не разбираюсь,сладко -да,раньше от меда в горле першило,сейчас этого нет",0,3
"Всё в клею, даже мерить не стали!",0,1
"Очень не приятна ткань, колется, была уже в катушках. Для лета рубашка плотная, не дышит ткань.",0,3
"Крутой мёд, жидкий, вкусный",1,5
"Это самая лучшая зубная паста! Я фанат. Во-первых - нереально приятная на вкус, напоминает что-то из детства…и не именно кокосовая, а все! Во-вторых очень хорошо и приятно очищает, хорошо пенится не сжигая при этом рот)) И кокосовая и чёрная с углём немного отбеливает.",1,5
Через три дня перестали работать.,0,1
"Карандаши пришли хорошо упакованы, все целые, в очень удобном боксе! Ещё не рисовала, но по внешнему виду рекомендую точно!👍 Спасибо продавцу и WB!",1,5
Маломерки и только на худеньких,0,3
"Беру не первый раз, очень нравится гель, хорошо пахнет и пенится",1,5
"Внешне понравился, ткано вроде бы и ничего, но через неделю использования в больнице по шру поползли штаны по заднему шву, на вторую неделю лежания может и не хватить. Жаль что такое качество!",0,3
"Мед оставила, по вкусу приятный. Но вот банка странная. Во-первых, стала отклеивать защиту, а она уже отклеена… по объёму не могу сказать точно, но сравнивая с фото других отзывов как будто бы кто-то попробовал уже)",1,4
"Пакет порван! Мундштука нет ! Сама забрать не смогла , муж был не в курсе, что там должно быть, в итоге очень обидно (",0,1
"Отличный шоколад! Темный, много орехов👍",1,5
"на какие 7 лет она кому налезла! снова горе-коментаторы понаписали. на заявленные 54см. она мала, размером с ладошку, только для малышей. три звезды только за заблуждение продавца по описанию в карточке товара, платить за возврат по причине обмана это слишком",0,3
"Пришел камушек, до этого брали свежий и вкусный, по скидкам идут камушки",0,3
"Отличные насадки, буду заказывать",1,5
"Мед вкусный, свежий",1,5
"Товар упакован только в пленку. Конечно, отломан носик. Остатки в упаковке на дне. 
Отказ =100 рублей. Взяла. Переставлю со старого баллончика. 
Другой продавец упаковал свой товар в коробку и все ОК.",0,2
"бумага очень плотная и на ней очень сложно взрослому человеку раскрашивать карандашами/восковыми мелками. очень-очень бледно получается.
размер маленький) больше ребенку не куплю, дочка не стала раскрашивать после усилий",0,2
Очень хорошая сыворотка. Приятная и здорово впитывается.,1,5
Очень тоненький,0,3
"Заказала 2 костюма, разных размеров, один оказался огромным, второй уже кто-то поносил. До этого заказывала уже в другом цвете, он так выглядит после рабочей смены🙈😂 Ну фу, был бы не ношенный, забрала бы, а так даже примерять не стала, противненько. Ещё и растянутый на попе.",0,1
Маслянистая и мутная.эффекта 👎,0,1
Супер. Спасибо за подарок.,1,5
"Не высший сорт, мясо не сочное, соли много, присутствует паштетообразная консистенция.",0,3
"Очень вкусный и ароматный мед, обязательно закажем еще👌",1,5
"Хороший крем. Уже убрал красноту с потницы у ребенка. Беспокоил лимфоузел за ухом у меня - мазала 2 вечера. Эффект Вау))). Пахнет камфарой и ещё чем-то,  к утру запаха не остается",1,5
Вкусный мёд. Добавлю этого пасечника в число любимых,1,5
"Товарищи ,это кошмар, упаковка рваная была,в ней всего 5 тетрадей было,а заявлено 10. Обман. не берите эти тетради!!!",0,1
"Жаль не почитала внимательно отзывы перед покупкой. Как и многие получила вскрытую банку, всю протекшую. 450 р на ветер. Всем совет: проверяйте в пункте выдачи..",0,1
"Простенькая, вид не очень, отказ",0,3
"Банка ехала ко мне с 11 октября сего года почти 10 дней 🚚 но это того стоило 👍🏻 
Просто буду иметь в виду, что логист  выстраивает маршрут Барнаул - Новосибирск - Москва и пару дней по белокаменой поездит 🤣

Для прошлогоднего мед нормальный. Банка хорошо упакоаана, обернута в пузырчатку, с контролькой.

Сам мед густой, осевший. Вкусный 🥄 Буду брать и на работу, чай с сахаром  🍵 я уже не пью.",1,5
"Один из лучших дезиков которые у меня были, а за 30 лет у меня их было ох как не мало! Запах ненавязчивый,  дезодорант со своей задачей справляется на отлично. Те, кто пишет что не помогает, вы его на одежду мажете что-ли?",1,5
"Все замечательно, и, я так подозреваю, очень интересно, но фишки и кубик для игры нам не положили в набор🤯",0,3
"У меня гипергидроз. Потею всегда и летом и зимой. Когда ноги и нос холодные, подмышки мокрые. Даже знаменитый драй драй справлялся через раз… чудом наткнулась на этот дезик. Безусловно, есть свои минусы ввиде упаковки и распыления- очень широкий «пшик». Долго сохнет. Но подмышки остаются сухими. Обязательное условие- мыть и насухо вытирать перед применением. Пока помогает, я рада. Купила за 150.",1,5
Цвет вообще не соответствует фото.,0,2
"пульт вообще не работает, подсветка отклеивается",0,1
"Не советую, на маленькую руку, сразу стали распускаться у большого пальца",0,1
"Чехол хороший, надёжно ложиться к геймпаду, в подарок идут стики, эта вещь тоже полезна, но минус в том, то что от этой же компании нельзя с чехлом заряжать на док-станции Dobe, которая у меня есть, хотя продавец говорил мне обратное, то что можно.",0,3
Совсем не понравился. Как-будто безвкусен совсем. И пачку когда открываешь нет такого аромата от зёрен как обычно,0,2
"Дезик неплохой. Кожу не сушит, не раздражает. Пахнет маслом чайного дерева, но потом, на коже, ничем. Подмыхи не пахнут потом и влаги мало.
Не нравится дозатор, при нажатии подтекает мальца.",1,4
Зачем обманываете написанно ×2слюды а по итогу 1шт. и то возврат 100р .обман прошу вернуть еще одну пластину иначе буду писать за ваш обман во все с.ц. где 2 шт? А цена как за 2шт.и еще и завышена КАК ВАМ НЕСТЫДНО.,0,1
"На пункте выдачи товар не нашли,искали 40 минут!выдать не смогли,причину не объяснили,пришлось перезаказывать и ждать еще доставку несколько дней!..просьба не снимать за возврат и если сняли-ВЕРНУТЬ!!!",0,1
"Ребята, мёд настоящий и очень вкусный! Консистенция нежнейшая, аромат природы! Беру третью банку, почти забыла, что такое сахар... добавляю мёд.
От души благодарю за труд и возможность лакомиться таким чудесным мёдом изготовителя🙏 Продукт рекомендую.",1,5
Отличные футболки. За эту цену претензий нет. Спасибо производителю,1,5
Уступает по эффективности ополаскивателям сплат. Как будто разбодяжен.,0,3
Из 25 штук 6 поломаны головы.,0,2
"Ужасный чай баночка маленькая чай на вкус как самая дешовая заварка,брала для подарка но такое дарить точно не буду.
НЕ СОВЕТУЮ!",0,1
"Товар пришёл целый. Но, к сожалению, забит распылитель и при распылении плюёт крупными каплями. Если убрать из внимания крупные капли, надеюсь что это единичный случай, то в целом краска ложится ровно, не течёт, намного лучше, чем бюджетные баллоны с леруа мерлен.",1,4
Всё хорошо,1,5
"Очень люблю пластины этой фирмы за чёткую гравировку, разнообразие рисунков. В паре с лаками этой фирмы на ногтях рождаются шедевры😄",1,5
В руках скользит,0,3
"Мед очень вкусный,упаковка целая. Хочу заказать ещё баночку,спасибо,отдаю 5 звёзд.",1,5
"Советую, доставка 2 дня. Сама краска и оксид в пакетиках, лучше смешивать всё в миске а не в тюбике из под старой краски, она очень густая и хорошо ложиться. Взяла 2 на длину до поясницы (дреды, подкрашиваю корни и кисточки). Обычно мне не хватает 100 мл краски, а тут 50 всё прокрасила + чайная ложка с горкой осталась в банке.",1,5
Все как на фото!,1,5
"Губки большие можно разрезать на несколько маленьких для экономии. Чистят хорошо, в меру крошаться.",1,5
